epoch,accuracy,loss,val_accuracy,val_loss
0,0.354553,1.3377294091679468,0.4265129566192627,1.3036871406461732
1,0.6285635,1.0361013524986984,0.639769434928894,0.9512392047159266
2,0.7821755,0.6100366724896821,0.7089337110519409,0.7740069540158473
3,0.84528095,0.4259212980335055,0.6858789920806885,0.8083721145085712
4,0.8812621,0.3370596317581084,0.7031700015068054,0.8415382131719452
5,0.90755606,0.27209952961134837,0.7002881765365601,0.8472457297940763
6,0.92942154,0.21886877035487565,0.6628242135047913,0.9428922389701052
7,0.94326043,0.18611266620925282,0.7002881765365601,1.0136067260926327
8,0.9510102,0.16049824881481062,0.6887608170509338,1.0562548094592796
9,0.95876,0.1375068115488565,0.6628242135047913,1.1444856091603766
10,0.9615278,0.1292664008872383,0.6772334575653076,1.1726422699796364
11,0.9667866,0.11067875988375207,0.6887608170509338,1.2419185332674803
12,0.970108,0.0993149012467421,0.6570605039596558,1.2643985768903574
13,0.97121507,0.09117440746335682,0.651296854019165,1.3451345526862901
14,0.9717686,0.09460880549832325,0.651296854019165,1.3352731720514874
15,0.97481316,0.08214954753067893,0.6455331444740295,1.3522332910158448
16,0.97619706,0.08186460678240631,0.651296854019165,1.3978202212440864
17,0.9753667,0.07792585724621905,0.6599423885345459,1.4274070228554674
18,0.9742596,0.06946960815821135,0.6599423885345459,1.4687449492363833
19,0.97619706,0.07131979251350025,0.651296854019165,1.484642076561018
20,0.9770274,0.06827892384930327,0.6570605039596558,1.5283429626085572
21,0.97647387,0.06482146825737284,0.6657060384750366,1.5194201661805256
22,0.97868806,0.06272802437989955,0.6570605039596558,1.5705901593914637
23,0.9753667,0.06609016777099481,0.6455331444740295,1.5997377565339939
24,0.97896487,0.056454407835341607,0.6599423885345459,1.60259427186048
